epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,1011.6,1.2421,1.24637,1.44821,0.83209,0.83333,0.93086,0.63918,0.81502,0.71404,1.41154,0.0003072,0.0003072,0.0003072
138,1018.87,1.3056,1.31905,1.51525,0.9447,0.83226,0.94999,0.61155,0.81375,0.7099,1.41204,0.0002874,0.0002874,0.0002874
139,1026.13,1.28853,1.36405,1.46921,0.93194,0.83333,0.95454,0.62648,0.81399,0.70053,1.40257,0.0002676,0.0002676,0.0002676
140,1033.37,1.27425,1.31647,1.46663,0.82836,0.90972,0.93664,0.60045,0.78765,0.69558,1.39475,0.0002478,0.0002478,0.0002478
141,1047.76,1.21709,1.20532,1.51676,0.85882,0.84722,0.93102,0.61411,0.88118,0.69908,1.40557,0.000228,0.000228,0.000228
142,1054.98,1.22306,1.15129,1.54041,0.8916,0.89209,0.94196,0.62359,0.96951,0.74149,1.43225,0.0002082,0.0002082,0.0002082
143,1062.17,1.20304,1.17877,1.50502,0.95427,0.83032,0.93675,0.64368,0.83055,0.70657,1.38956,0.0001884,0.0001884,0.0001884
144,1069.35,1.17608,1.14115,1.47671,0.89494,0.83333,0.91914,0.62823,0.80899,0.70498,1.38816,0.0001686,0.0001686,0.0001686
145,1076.55,1.16903,1.09721,1.48497,0.93009,0.83333,0.94947,0.65508,0.81972,0.6991,1.38364,0.0001488,0.0001488,0.0001488
146,1083.77,1.15169,1.04363,1.43474,0.93528,0.83594,0.9277,0.64251,0.84667,0.68798,1.38811,0.000129,0.000129,0.000129
147,1090.96,1.15084,1.08915,1.46101,0.97262,0.81688,0.91628,0.64515,0.82304,0.67626,1.37889,0.0001092,0.0001092,0.0001092
148,1098.14,1.18485,1.0743,1.47539,0.91219,0.84979,0.90876,0.64857,0.80127,0.68118,1.37529,8.94e-05,8.94e-05,8.94e-05
149,1105.33,1.11663,0.99524,1.43743,0.90093,0.89414,0.92154,0.65201,0.77781,0.68077,1.3678,6.96e-05,6.96e-05,6.96e-05
150,1112.53,1.12559,1.01669,1.46393,0.91311,0.94509,0.98207,0.66026,0.77439,0.6708,1.36695,4.98e-05,4.98e-05,4.98e-05
