epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2742.4,1.48589,2.22193,1.71391,0.23342,0.40278,0.41342,0.22214,1.57068,1.76226,2.06942,0.001812,0.001812,0.001812
62,2786,1.55764,2.1797,1.69397,0.38268,0.28428,0.36133,0.19493,1.6382,2.26878,2.11964,0.0017922,0.0017922,0.0017922
63,2830.33,1.53556,2.1476,1.67637,0.43932,0.63889,0.48856,0.24719,1.58209,1.5509,2.08495,0.0017724,0.0017724,0.0017724
64,2874.22,1.44643,2.14123,1.58907,0.46744,0.48244,0.47321,0.24141,1.52664,1.75779,2.03894,0.0017526,0.0017526,0.0017526
65,2917.96,1.49611,2.05065,1.63969,0.4812,0.5625,0.48877,0.2524,1.58727,1.70515,2.0596,0.0017328,0.0017328,0.0017328
66,2961.16,1.51211,2.01603,1.70015,0.37623,0.57639,0.48764,0.25595,1.55735,1.61808,2.03883,0.001713,0.001713,0.001713
67,3004.73,1.45392,1.99349,1.62545,0.39991,0.61069,0.4867,0.22849,1.5554,1.80671,2.03734,0.0016932,0.0016932,0.0016932
68,3047.61,1.4659,2.09586,1.61264,0.43834,0.54861,0.48717,0.24026,1.52626,1.61678,2.07503,0.0016734,0.0016734,0.0016734
69,3090.46,1.4133,2.05873,1.5876,0.53531,0.52754,0.53858,0.23761,1.61337,2.05694,2.13412,0.0016536,0.0016536,0.0016536
70,3133.87,1.47555,2.21363,1.68422,0.47056,0.74306,0.59452,0.29517,1.51143,1.52197,2.0609,0.0016338,0.0016338,0.0016338
71,3178.37,1.59085,2.12766,1.78316,0.54316,0.54646,0.54573,0.27336,1.52876,1.72458,2.05382,0.001614,0.001614,0.001614
72,3221.94,1.54187,2.21671,1.77099,0.46254,0.70139,0.55698,0.26008,1.57304,1.55178,2.08128,0.0015942,0.0015942,0.0015942
73,3264.87,1.50712,2.00998,1.65156,0.54476,0.45833,0.55351,0.26238,1.54769,1.55615,2.02871,0.0015744,0.0015744,0.0015744
74,3308.37,1.45819,2.03691,1.67365,0.3626,0.68056,0.46423,0.24929,1.52557,1.55599,2.00358,0.0015546,0.0015546,0.0015546
75,3351.47,1.38017,1.9369,1.57272,0.56527,0.59355,0.53297,0.30114,1.51106,1.67283,2.00294,0.0015348,0.0015348,0.0015348
